dress_id,rgb,classified_color
B009KP6QZO,"[37, 145, 134]",green
B00CF1X8C4,"[226, 223, 233]",white
B008ULB33O,"[50, 49, 114]",black
B00DTPXNNE,"[116, 167, 162]",white
B0097L5W9M,"[138, 75, 107]",red
B00CKL8YRS,"[86, 150, 136]",green
B007N00P1O,"[11, 116, 177]",blue
B007N00P1O,"[15, 122, 179]",blue
B008E6IBEY,"[11, 10, 11]",black
B008E6IBEY,"[225, 187, 151]",white
B00684V5LK,"[34, 34, 34]",black
B00684V5LK,"[34, 34, 34]",black
B00E9MS2ZK,"[75, 77, 71]",black
B00B19GNCS,"[230, 226, 228]",white
B008G5VVDQ,"[43, 49, 84]",black
B008AIKAYU,"[37, 27, 34]",black
B008AIKAYU,"[245, 244, 244]",white
B008AIKAYU,"[37, 26, 34]",black
B009DIG5X6,"[27, 25, 25]",black
B005MKBQBK,"[42, 41, 43]",black
B00B67DET0,"[240, 239, 237]",white
B008A4OT2S,"[21, 17, 22]",black
B008MZSKS4,"[17, 20, 23]",black
B00AFOMFT0,"[230, 187, 75]",white
B00A8FANIQ,"[244, 244, 244]",white
B005OORJ8I,"[176, 174, 176]",white
B0072BD06Q,"[231, 64, 56]",red
B00DW7SGFY,"[249, 244, 244]",white
B00DW7SGFY,"[249, 244, 244]",white
B00B0QDSXY,"[220, 81, 52]",red
B005EYSZZO,"[210, 116, 125]",red
B005EYSZZO,"[210, 116, 125]",red
B00307RLL6,"[185, 51, 60]",red
B00ALGU3FK,"[43, 41, 43]",black
B00CNGCRPA,"[117, 206, 188]",white
B004QVWTMQ,"[28, 33, 56]",black
B007CPTQ1A,"[244, 242, 233]",white
B004ZY0CBY,"[47, 125, 168]",blue
B004ZY0CBY,"[47, 125, 168]",blue
B00B67AO2A,"[22, 22, 22]",black
B0065L240C,"[30, 29, 35]",black
B00BEDIQVM,"[64, 63, 75]",black
B00824GB22,"[156, 200, 196]",white
B00CUD9RQI,"[5, 190, 193]",blue
B00CUD9RQI,"[5, 190, 193]",blue
B009VYW3Y2,"[43, 32, 36]",black
B00C40W020,"[25, 24, 24]",black
B00C40W020,"[25, 24, 23]",black
B00712KNGG,"[28, 28, 27]",black
B006ZQX8RK,"[162, 37, 61]",red
B00DJQN0MW,"[213, 101, 92]",red
B0060FHQI8,"[209, 213, 186]",white
B004YN2KW0,"[198, 74, 124]",red
B00A1HXBNK,"[14, 16, 80]",black
B00EDTG2PQ,"[33, 33, 42]",black
B00EDTG2PQ,"[33, 33, 42]",black
B006WQXWE2,"[53, 53, 53]",black
B006MOS4DS,"[134, 128, 122]",red
B00DH7DDRU,"[193, 200, 202]",white
B008VIRAB0,"[195, 188, 190]",white
B00CTT50XC,"[30, 31, 34]",black
B00CTT50XC,"[30, 31, 34]",black
B00CTA12Q0,"[189, 37, 63]",red
B00CTA12Q0,"[189, 37, 63]",red
B008RJZVHS,"[21, 20, 20]",black
B0067LQ6M2,"[197, 195, 187]",white
B005V3N4E0,"[28, 24, 27]",black
B00741MD2Q,"[234, 231, 223]",white
B0030MIDIQ,"[63, 69, 135]",blue
B0044BBN52,"[28, 24, 38]",black
B0044BBN52,"[28, 25, 38]",black
B005X0RK96,"[24, 16, 28]",black
B005X0RK96,"[26, 17, 25]",black
B00CZBUOGC,"[246, 244, 241]",white
B003OPYYEG,"[131, 108, 143]",blue
B00DR8UJ08,"[237, 234, 235]",white
B00DR8UJ08,"[51, 25, 40]",black
B00DR8UJ08,"[51, 25, 40]",black
B005H1Z6CE,"[33, 34, 33]",black
B0078LJ5JQ,"[32, 37, 83]",black
B00BY3FON0,"[153, 146, 157]",white
B00BY3FON0,"[91, 88, 91]",black
B008IGU56C,"[243, 240, 230]",white
B008IGU56C,"[243, 240, 231]",white
B00BD03JWM,"[29, 21, 26]",black
B00FS7K0HI,"[179, 33, 56]",red
B00D860T5O,"[228, 225, 231]",white
B00D860T5O,"[241, 238, 242]",white
B006W6PZVK,"[222, 204, 233]",white
B006W6PZVK,"[48, 39, 60]",black
B006VVMRQW,"[243, 237, 218]",white
B006VVMRQW,"[17, 16, 16]",black
B006VVMRQW,"[243, 234, 209]",white
B00BRBEBE2,"[52, 89, 54]",black
B00DUFXFWW,"[162, 145, 119]",white
B005UEVJ06,"[33, 31, 32]",black
B005UEVJ06,"[34, 28, 28]",black
B005UEVJ06,"[34, 28, 28]",black
B001ASBT0Q,"[38, 37, 37]",black
B008NC8A68,"[249, 245, 244]",white
B0098BV4P2,"[45, 176, 135]",green
B00A9SQCQ4,"[243, 242, 241]",white
B007KJ0I3I,"[223, 50, 95]",red
B00C59LZZS,"[50, 67, 77]",black
B00C59LZZS,"[50, 67, 77]",black
B00604Z1UY,"[231, 64, 79]",red
B00604Z1UY,"[245, 240, 241]",white
B00A0JHI5Q,"[34, 31, 43]",black
B00BG8XYR6,"[30, 64, 44]",black
B00BG8XYR6,"[30, 64, 44]",black
B00BN3FOA4,"[29, 29, 28]",black
B0094GAVJ6,"[6, 6, 6]",black
B0094GAVJ6,"[241, 240, 239]",white
B0094GAVJ6,"[6, 6, 6]",black
B00CHS13P4,"[26, 29, 44]",black
B00196XK4W,"[24, 24, 31]",black
B008OZTH1G,"[25, 178, 236]",blue
B008OZTH1G,"[29, 175, 141]",green
B008OZTH1G,"[40, 161, 130]",green
B002VLHM4S,"[8, 139, 189]",blue
B00A3Q8G8Y,"[22, 20, 21]",black
B00CEIULHS,"[19, 103, 118]",black
B00CEIULHS,"[242, 242, 239]",white
B003AU5JNA,"[239, 239, 235]",white
B003AU5JNA,"[239, 239, 235]",white
B00DQ5R8S8,"[240, 233, 236]",white
B009ERVM1G,"[189, 190, 191]",white
B003XT0FKA,"[60, 188, 235]",blue
B008J17TZQ,"[34, 0, 38]",black
B008OC8LAC,"[249, 244, 243]",white
B006586QIG,"[231, 227, 229]",white
B006586QIG,"[232, 227, 229]",white
B005DC39J4,"[45, 36, 43]",black
B00ED7W9GO,"[19, 19, 19]",black
B00BBUQZXO,"[239, 238, 234]",white
B00CS1DE16,"[21, 34, 118]",black
B00D8DW8CY,"[229, 231, 231]",white
B009YKC8DY,"[93, 95, 92]",black
B00CXXU0BQ,"[242, 240, 238]",white
B007KSGUDQ,"[212, 213, 216]",white
B003DKXLBO,"[19, 17, 17]",black
B008ZAYKPS,"[24, 39, 65]",black
B008PAJYPY,"[101, 30, 73]",black
B00DWGK5UY,"[41, 38, 36]",black
B00CG06R0Y,"[244, 232, 229]",white
B00CG06R0Y,"[244, 230, 227]",white
B00CG06R0Y,"[248, 244, 243]",white
B0070QMTYW,"[3, 55, 191]",blue
B00BP0WKPW,"[241, 238, 238]",white
B00CXAPHHG,"[202, 221, 195]",white
B0080E5N0K,"[246, 244, 243]",white
B008IE0V9U,"[249, 246, 249]",white
B00AYXA7TM,"[176, 77, 70]",red
B005M0ICIK,"[38, 14, 34]",black
B005EVNJ1C,"[62, 51, 47]",black
B005EVNJ1C,"[62, 52, 46]",black
B005EVNJ1C,"[62, 51, 47]",black
B006WRXVY2,"[235, 231, 232]",white
B00BXXLJTY,"[207, 116, 85]",red
B00BXXLJTY,"[207, 117, 85]",red
B00E1BG4Y0,"[170, 108, 136]",red
B0086SFRHO,"[46, 47, 48]",black
B00AHGAONU,"[38, 36, 41]",black
B003VYAV5Q,"[24, 19, 23]",black
B003VYAV5Q,"[25, 20, 24]",black
B008L1P582,"[15, 14, 16]",black
B008L1P582,"[16, 14, 16]",black
B008RBA9BO,"[232, 232, 229]",white
B008RBA9BO,"[232, 232, 229]",white
B008RBA9BO,"[227, 228, 225]",white
B00C19J7GG,"[249, 245, 247]",white
B00C19J7GG,"[249, 245, 247]",white
B00EIQK9WQ,"[67, 26, 36]",black
B00EIQK9WQ,"[75, 26, 38]",black
B004NGNG44,"[243, 242, 242]",white
B00AXU14BQ,"[45, 60, 138]",blue
B00AXU14BQ,"[45, 59, 136]",blue
B007RB7C6A,"[11, 11, 11]",black
B007WATNFE,"[202, 179, 199]",white
B007WATNFE,"[202, 178, 198]",white
B009MPNO98,"[40, 37, 37]",black
B009MPNO98,"[41, 39, 39]",black
B009MPNO98,"[40, 37, 37]",black
B008DCP99Y,"[241, 241, 241]",white
B008DCP99Y,"[242, 241, 241]",white
B005W3E2PE,"[60, 26, 48]",black
B00A13BI2U,"[7, 68, 158]",blue
B0091QS2YU,"[208, 208, 213]",white
B0091QS2YU,"[231, 231, 234]",white
B006PHEWE2,"[18, 16, 19]",black
B007I6BXOG,"[6, 130, 124]",green
B007I6BXOG,"[6, 130, 124]",green
B009PPPO4I,"[14, 14, 14]",black
B007CTM8S4,"[20, 18, 21]",black
B00CLF477O,"[232, 234, 236]",white
B00B7RRF1M,"[17, 45, 75]",black
B00B7RRF1M,"[28, 36, 62]",black
B00B7RRF1M,"[236, 237, 239]",white
B00B7RRF1M,"[24, 42, 63]",black
B00B7RRF1M,"[239, 241, 242]",white
B00B7RRF1M,"[231, 232, 234]",white
B00D7847ZQ,"[46, 45, 46]",black
B00D7847ZQ,"[243, 243, 243]",white
B005KLV20Q,"[109, 32, 78]",black
B002PJ5EOQ,"[52, 41, 42]",black
B002PJ5EOQ,"[52, 41, 42]",black
B006WJC8K8,"[44, 43, 44]",black
B009MP8HVS,"[87, 83, 80]",black
B009MP8HVS,"[88, 83, 80]",black
B00858S4M0,"[238, 237, 237]",white
B00858S4M0,"[237, 237, 237]",white
B009AO2FS2,"[27, 26, 31]",black
B00632P0MC,"[208, 206, 209]",white
B00632P0MC,"[207, 205, 207]",white
B00E1QB62A,"[40, 40, 42]",black
B00AQTODZ8,"[19, 14, 14]",black
B00BOEMFMC,"[53, 141, 144]",blue
B0077V74J0,"[233, 72, 109]",red
B0077V74J0,"[235, 66, 104]",red
B0077V74J0,"[212, 132, 166]",white
B009KQVPPE,"[8, 151, 200]",blue
B00B1OSUM4,"[35, 35, 39]",black
B00902B6BQ,"[29, 29, 28]",black
B00BRUTG66,"[196, 36, 53]",red
B00BRUTG66,"[206, 33, 52]",red
B00DH06XU6,"[50, 51, 50]",black
B007V1QDNO,"[243, 241, 229]",white
B007V1QDNO,"[240, 238, 224]",white
B008SCGZVK,"[233, 230, 231]",white
B0052C9J3U,"[62, 77, 79]",black
B00B8QNLA6,"[25, 61, 54]",black
B003DZ0ZQ8,"[174, 76, 125]",red
B007TFM2YQ,"[66, 66, 98]",black
B00CQ9EN10,"[9, 9, 12]",black
B005UXBYNE,"[18, 18, 28]",black
B005UXBYNE,"[242, 248, 248]",white
B0041FILI8,"[85, 32, 44]",black
B0051931YC,"[202, 185, 192]",white
B008595Q9I,"[180, 33, 109]",red
B002ZG8RUW,"[22, 19, 19]",black
B004OBZ9PC,"[19, 17, 18]",black
B004OBZ9PC,"[245, 244, 245]",white
B00E1UZ63Q,"[30, 29, 32]",black
B00A36MTLE,"[22, 17, 18]",black
B00A36MTLE,"[22, 17, 18]",black
B00A36MTLE,"[22, 17, 18]",black
B008PCHXYG,"[244, 244, 244]",white
B008PCHXYG,"[17, 15, 16]",black
B0097JHMOW,"[236, 233, 231]",white
B0097JHMOW,"[236, 233, 231]",white
B00A16FGUW,"[222, 222, 227]",white
B00A16FGUW,"[245, 243, 244]",white
B001VEHYLW,"[216, 204, 223]",white
B006NV6CVG,"[218, 227, 229]",white
B00CI42NVA,"[235, 234, 232]",white
B008S4CQCU,"[24, 24, 62]",black
B00DQ08TOK,"[12, 56, 68]",black
B00C40YH8U,"[12, 12, 12]",black
B00CEIVAT6,"[145, 139, 143]",white
B004RNZKGU,"[246, 243, 238]",white
B004RNZKGU,"[246, 243, 238]",white
B008GZTEMQ,"[242, 236, 237]",white
B008GZTEMQ,"[241, 235, 237]",white
B0094D087E,"[32, 31, 29]",black
B0094D087E,"[246, 246, 245]",white
B009ZRKV6W,"[219, 228, 209]",white
B0085JGW3C,"[236, 233, 210]",white
B0085JGW3C,"[238, 234, 204]",white
B0082ABFEA,"[20, 15, 19]",black
B0082ABFEA,"[241, 240, 241]",white
B0073AFLI6,"[239, 240, 234]",white
B0073AFLI6,"[239, 240, 235]",white
B0099NV9N6,"[65, 64, 69]",black
B0099NV9N6,"[66, 64, 69]",black
B00A3UTD5U,"[37, 37, 39]",black
B0089E64S6,"[220, 220, 209]",white
B0089E64S6,"[224, 224, 215]",white
B00FFBEY88,"[223, 223, 221]",white
B00FFBEY88,"[230, 231, 228]",white
B00E1MCUY2,"[149, 211, 221]",white
B005G0482K,"[38, 18, 20]",black
B007WPHBGW,"[113, 188, 205]",white
B00DNKC944,"[175, 81, 149]",red
B008BMQ50S,"[35, 32, 59]",black
B00D7FL946,"[43, 68, 121]",black
B00AUQFOTQ,"[215, 210, 221]",white
B00AXDA3T2,"[46, 45, 45]",black
B00ECG1RDC,"[214, 210, 210]",white
B00ECG1RDC,"[221, 216, 216]",white
B00A7B7BH2,"[36, 37, 41]",black
B0058YS7FI,"[19, 67, 185]",blue
B0058YS7FI,"[19, 67, 185]",blue
B007C2AW1G,"[223, 222, 223]",white
B0087CI62W,"[249, 247, 248]",white
B006QQPFPW,"[119, 150, 167]",white
B006QQPFPW,"[119, 150, 167]",white
B009WJ0MZI,"[177, 181, 193]",white
B007WAF0YW,"[228, 227, 220]",white
B007WAF0YW,"[26, 25, 24]",black
B007WAF0YW,"[25, 24, 22]",black
B00F4MYSLG,"[248, 242, 245]",white
B00F4MYSLG,"[52, 47, 66]",black
B0044WVG1C,"[248, 243, 247]",white
B00FKEHK6S,"[22, 32, 58]",black
B00DJZLXFE,"[123, 208, 219]",white
B00CDAL83I,"[230, 233, 224]",white
B005LJDHVY,"[48, 46, 48]",black
B005LJDHVY,"[44, 43, 43]",black
B0055QA5JK,"[247, 246, 239]",white
B00A77JXQS,"[128, 4, 23]",red
B00A77JXQS,"[214, 164, 173]",white
B00A77JXQS,"[134, 4, 24]",red
B004A7XK9M,"[149, 159, 163]",white
B003HE66SG,"[227, 226, 228]",white
B00D8WMJME,"[147, 40, 40]",red
B00D8WMJME,"[147, 40, 40]",red
B00CDCD4GK,"[9, 80, 67]",black
B00AFXXH8O,"[209, 209, 200]",white
B00CHMVBNO,"[32, 30, 27]",black
B00BJEP6OQ,"[27, 27, 27]",black
B00A76ZL3S,"[225, 221, 213]",white
B00A76ZL3S,"[225, 221, 213]",white
B009H29KIU,"[180, 116, 78]",red
B00GOITRZG,"[247, 245, 246]",white
B008J7I8LY,"[216, 194, 188]",white
B00378KQO2,"[70, 91, 138]",blue
B00AKB3ZC4,"[57, 56, 55]",black
B00763VYJU,"[151, 76, 80]",red
B008LVG8GU,"[122, 166, 57]",green
B007NLX0ZQ,"[247, 234, 237]",white
B007NLX0ZQ,"[247, 234, 237]",white
B00CBUSHU2,"[244, 243, 239]",white
B00CBUSHU2,"[244, 243, 239]",white
B00CZ6G6GE,"[157, 50, 102]",red
B005W2G4HY,"[249, 249, 226]",white
B007N6ZJNM,"[226, 240, 237]",white
B00845RYZW,"[234, 230, 228]",white
B007Z37CJC,"[80, 77, 76]",black
B009WU0Y4G,"[33, 33, 33]",black
B00AW1R16I,"[23, 23, 24]",black
B00AW1R16I,"[240, 221, 208]",white
B00AW1R16I,"[25, 25, 26]",black
B008FEOHC0,"[20, 18, 21]",black
B007WAD292,"[200, 104, 64]",red
B0050JBWCQ,"[235, 211, 201]",white
B005X0AUFM,"[37, 34, 33]",black
B005X0AUFM,"[37, 34, 33]",black
B005XEN2PS,"[249, 248, 245]",white
B00DR7EKPY,"[11, 82, 49]",black
B007R9TF1M,"[20, 17, 19]",black
B004P2KWHA,"[241, 241, 240]",white
B008CO7ODM,"[249, 246, 245]",white
B008CO7ODM,"[249, 246, 245]",white
B0033PRQ7E,"[244, 232, 235]",white
B004JXVVCK,"[230, 226, 224]",white
B00BBKYSJM,"[246, 247, 225]",white
B00BBKYSJM,"[247, 247, 197]",white
B00BBKYSJM,"[249, 249, 221]",white
B00BU4TLH8,"[60, 182, 177]",green
B008LRMY26,"[52, 54, 71]",black
B006G2AJFM,"[59, 55, 60]",black
B00DYB1Q28,"[237, 220, 232]",white
B00DYB1Q28,"[237, 221, 233]",white
B00EEJU2TC,"[233, 231, 234]",white
B005M0RI6C,"[18, 15, 16]",black
B007UM4YM6,"[178, 169, 194]",white
B007UM4YM6,"[178, 169, 194]",white
B0089FSQKE,"[191, 221, 214]",white
B006X53KX0,"[19, 19, 20]",black
B004HEXH0U,"[243, 241, 241]",white
B008LXSKBO,"[16, 14, 17]",black
B008BA7THS,"[211, 43, 40]",red
B008BA7THS,"[206, 46, 39]",red
B008BA7THS,"[206, 45, 38]",red
B005X4PFE4,"[226, 119, 122]",red
B0073NCTZ6,"[21, 20, 32]",black
B00CUALGAQ,"[27, 39, 40]",black
B00CUALGAQ,"[24, 36, 36]",black
B0076FD3EC,"[239, 238, 237]",white
B00DCCA21A,"[233, 234, 242]",white
B008FXGEQS,"[185, 5, 20]",red
B008FXGEQS,"[249, 245, 244]",white
B008BHHY0I,"[23, 23, 23]",black
B008U8XM4K,"[16, 14, 15]",black
B008U8XM4K,"[16, 14, 15]",black
B006V3F852,"[193, 64, 41]",red
B006V3F852,"[193, 64, 41]",red
B0057TE532,"[210, 207, 202]",white
B0057TE532,"[211, 207, 203]",white
B009B9U78Q,"[216, 227, 241]",white
B00BWRLUZY,"[14, 14, 16]",black
B00BWRLUZY,"[17, 17, 17]",black
B00BWRLUZY,"[15, 15, 17]",black
B00BWRLUZY,"[14, 14, 16]",black
B00FAPOFYW,"[54, 54, 59]",black
B00BNRLBA2,"[244, 244, 245]",white
B00BNRLBA2,"[53, 52, 62]",black
B00DOS8566,"[87, 76, 85]",black
B008VEPH1Y,"[227, 225, 219]",white
B008VEPH1Y,"[217, 214, 212]",white
B008VEPH1Y,"[235, 234, 229]",white
B00D8RZKO8,"[159, 169, 55]",green
B00D8RZKO8,"[226, 225, 228]",white
B00B9B8CJU,"[92, 35, 59]",black
B00D61YDJO,"[245, 245, 245]",white
B007V7PMWG,"[250, 249, 244]",white
B005C8X764,"[38, 37, 37]",black
B005C8X764,"[38, 37, 37]",black
B00C24N8ZQ,"[28, 24, 25]",black
B0093ANHDU,"[37, 39, 37]",black
B0093ANHDU,"[37, 39, 37]",black
B00AKO82FQ,"[19, 17, 21]",black
B0053X5B94,"[12, 12, 12]",black
B0053X5B94,"[12, 11, 12]",black
B0053X5B94,"[12, 11, 12]",black
B00BMOURII,"[20, 51, 66]",black
B00B30IRCY,"[243, 241, 237]",white
B00B30IRCY,"[245, 242, 237]",white
B005OHAQNU,"[26, 25, 27]",black
B00D4FTIUQ,"[8, 83, 196]",blue
B00GNLSVVK,"[13, 14, 17]",black
B00E0NUBS4,"[19, 14, 14]",black
B005WNIKJI,"[37, 37, 37]",black
B005WNIKJI,"[33, 33, 33]",black
B008O4ZWWA,"[220, 167, 78]",red
B00C0RKZQK,"[165, 201, 186]",white
B00CI89BUW,"[26, 22, 24]",black
B003XRN2TI,"[39, 46, 145]",blue
B003XRN2TI,"[38, 45, 146]",blue
B000LLOF6I,"[248, 241, 240]",white
B00CI34V1Q,"[239, 239, 238]",white
B0094GCIG0,"[37, 37, 37]",black
B0094GCIG0,"[37, 37, 37]",black
B00F4N07O2,"[57, 53, 67]",black
B00E0CYF9G,"[195, 195, 197]",white
B008P45VFC,"[219, 93, 86]",red
B008P45VFC,"[219, 93, 86]",red
B008OPLI4U,"[22, 20, 22]",black
B006ON4KIK,"[36, 38, 41]",black
B004MGVBPG,"[27, 33, 35]",black
B004MGVBPG,"[27, 33, 36]",black
B00B7DZNG0,"[193, 191, 192]",white
B00EZJ6ZJW,"[28, 28, 28]",black
B0064VI2WW,"[27, 27, 27]",black
B00BCQR6DA,"[223, 222, 218]",white
B00BCQR6DA,"[223, 222, 218]",white
B0060FHTM6,"[222, 219, 226]",white
B0060FHTM6,"[222, 219, 226]",white
B0060FHTM6,"[224, 221, 224]",white
B0081XK6GG,"[196, 7, 32]",red
B003QHXPSI,"[41, 41, 41]",black
B003FST6AO,"[82, 22, 49]",black
B00D535NN8,"[215, 215, 218]",white
B00BGH1G68,"[36, 35, 30]",black
B00ARFW3SU,"[82, 111, 117]",black
B00DI7BZI8,"[183, 183, 181]",white
B009Y6PZ9M,"[34, 45, 45]",black
B009Y6PZ9M,"[34, 44, 44]",black
B00686OEZW,"[114, 115, 116]",black
B006J9GJNS,"[103, 46, 64]",black
B006J9GJNS,"[103, 46, 64]",black
B007C7J5KK,"[238, 236, 235]",white
B006DD4FOK,"[243, 108, 102]",red
B006DD4FOK,"[248, 242, 241]",white
B006DD4FOK,"[248, 242, 241]",white
B00A3UTF58,"[193, 193, 194]",white
B009R3CYLO,"[230, 79, 14]",red
B009E2DVOC,"[21, 20, 20]",black
B00BV1WHHQ,"[190, 7, 42]",red
B007NKX1DI,"[43, 71, 111]",black
B00AA7DDYS,"[24, 21, 20]",black
B00BXP18MK,"[20, 74, 106]",black
B008FVQTK6,"[31, 30, 35]",black
B00B1JO4KG,"[33, 33, 34]",black
B00B89JB0M,"[29, 29, 34]",black
B00B89JB0M,"[27, 27, 30]",black
B008CFE9ES,"[120, 53, 62]",black
B007V0B22M,"[243, 243, 243]",white
B007V0B22M,"[21, 20, 22]",black
B007V0B22M,"[21, 20, 22]",black
B00EIQKV2Y,"[128, 126, 126]",red
B00B1P92MK,"[240, 239, 237]",white
B00CHO0TQC,"[203, 60, 57]",red
B00CHO0TQC,"[219, 84, 77]",red
B00CHO0TQC,"[221, 84, 77]",red
B00CHO0TQC,"[203, 60, 57]",red
B0088IMA2W,"[45, 117, 82]",black
B0088IMA2W,"[40, 110, 76]",black
B00BYN092Q,"[239, 117, 136]",red
B00BYN092Q,"[239, 117, 136]",red
B008P46ACU,"[243, 247, 245]",white
B008P46ACU,"[228, 236, 219]",white
B008P46ACU,"[228, 235, 218]",white
B008596Q1K,"[58, 67, 160]",blue
B008596Q1K,"[65, 58, 120]",black
B00BLUQFM0,"[218, 223, 242]",white
B00FQQ0QXO,"[11, 13, 15]",black
B00FQQ0QXO,"[31, 30, 28]",black
B00FQQ0QXO,"[20, 20, 20]",black
B00B513P1E,"[201, 200, 205]",white
B00B513P1E,"[200, 198, 204]",white
B009EWH5DA,"[239, 113, 154]",white
B005P78KEG,"[42, 40, 39]",black
B005P78KEG,"[48, 46, 45]",black
B005P78KEG,"[46, 44, 43]",black
B0007WFGWS,"[199, 76, 139]",red
B0094KPB6K,"[26, 180, 160]",green
B00D9JYTX8,"[63, 82, 149]",blue
B00D9JYTX8,"[63, 82, 149]",blue
B008IGR9VG,"[239, 232, 237]",white
B008IGR9VG,"[238, 230, 235]",white
B004HSN6O8,"[86, 149, 162]",blue
B00CJQI5KA,"[244, 242, 242]",white
B00CISJPLC,"[45, 41, 40]",black
B008PC5C5I,"[60, 57, 61]",black
B00BNV78ZK,"[28, 28, 26]",black
B005VTN6GU,"[46, 45, 58]",black
B007ECBNEY,"[18, 18, 19]",black
B007ECBNEY,"[17, 17, 19]",black
B0083EC3VY,"[245, 215, 228]",white
B0083EC3VY,"[245, 214, 228]",white
B00AIBYOW6,"[18, 145, 150]",blue
B00AIBYOW6,"[26, 99, 101]",black
B007WFPSJE,"[38, 126, 169]",blue
B007WFPSJE,"[38, 126, 170]",blue
B004LLIRZE,"[36, 33, 31]",black
B003BED1US,"[34, 31, 36]",black
B009S3IEO4,"[215, 230, 209]",white
B00BT8N1D0,"[245, 244, 240]",white
B00ANR3EQM,"[48, 37, 54]",black
B00ANR3EQM,"[46, 36, 50]",black
B006U1S1EA,"[198, 197, 215]",white
B006U1S1EA,"[189, 189, 209]",white
B002NN85O0,"[77, 39, 84]",black
B0097LQP52,"[25, 32, 45]",black
B0097LQP52,"[218, 226, 231]",white
B00D0AEFL2,"[146, 170, 179]",white
B00D0AEFL2,"[246, 245, 243]",white
B006UCQY4I,"[240, 236, 235]",white
B005FUMTS6,"[246, 137, 183]",white
B005FUMTS6,"[248, 139, 188]",white
B00A1AJCV2,"[232, 230, 228]",white
B00A1AJCV2,"[238, 236, 230]",white
B00CZ6YA3U,"[158, 23, 23]",red
B00925D14Q,"[28, 88, 105]",black
B00901GS0G,"[219, 219, 219]",white
B00901GS0G,"[222, 222, 222]",white
B0085J4K4U,"[215, 213, 212]",white
B0085J4K4U,"[206, 201, 197]",white
B007Y2BSZI,"[57, 60, 99]",black
B008VIQW5U,"[29, 23, 30]",black
B004ATIQLW,"[193, 185, 191]",white
B007Y38BHU,"[240, 245, 245]",white
B007Y38BHU,"[63, 190, 221]",blue
B007CDIFOQ,"[200, 200, 191]",white
B00A1AJ9TW,"[243, 242, 237]",white
B0089IA550,"[208, 201, 208]",white
B00C18GUVC,"[36, 34, 31]",black
B00C18GUVC,"[28, 27, 25]",black
B004SKFM8S,"[175, 36, 59]",red
B004SKFM8S,"[241, 236, 193]",white
B004SKFM8S,"[237, 232, 220]",white
B008IGINAC,"[217, 219, 223]",white
B008IGINAC,"[216, 218, 222]",white
B008V5OKTI,"[243, 241, 240]",white
B008V5OKTI,"[15, 13, 15]",black
B008V5OKTI,"[38, 36, 35]",black
B005TNPR9M,"[166, 41, 50]",red
B00CH35T9U,"[137, 28, 113]",red
B00BI73ELQ,"[208, 213, 223]",white
B007SVFA4K,"[68, 96, 94]",black
